city,company,country,date,jobkey,jobtitle,latitude,longitude,state,url,excel,sql,mysql,python,java,c++,sas,matlab,php,perl,hadoop,hive,spss,linux_unix,bachelor,master,phd
Mountain View,Google,US,2014-06-15 09:46:43,bd1d431ab89d3d0f,"Data Scientist/Quantitative Analyst, YouTube",37.384617,-122.08242,CA,http://www.indeed.com/viewjob?jk=bd1d431ab89d3d0f&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41u761d3i7un,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
San Francisco,Analytic Recruiting,US,2014-06-15 02:00:34,0c0cc9ac9a697a99,Customer Insights Data Engineer (ETL / SQL / Big Data),37.774727,-122.41758,CA,http://www.indeed.com/viewjob?jk=0c0cc9ac9a697a99&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41umg1d5i189,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0
Plano,Transamerica US,US,2014-06-14 01:54:42,686863c6bb64891e,Visualization Analytics Analyst,33.01923,-96.6978,TX,http://www.indeed.com/viewjob?jk=686863c6bb64891e&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOBg-YxuthZJPu-ypR83ALf7X0QsVCepWP2zcDl4FgtsbLL4yasKxk1OGcW9L5aFNP0&indpubnum=4889224015872296&atk=190a4g2h81d5h6uu,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
New York,Eliassen Group,US,2014-06-13 20:27:19,0423b0c8a4ba2282,Data Scientist,40.71154,-74.00549,NY,http://www.indeed.com/viewjob?jk=0423b0c8a4ba2282&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOA3HT7moDE5MXb2ksSw5jmTHRHTOzvi3o3W5KzGFyB8yddGI3uK7HlxeWl65cxAO4E1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a4bu291d611sl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Plano,Transamerica US,US,2014-06-13 19:53:35,4c0cba1474a34e20,Visualization Sr. Analytics Analyst,33.01923,-96.6978,TX,http://www.indeed.com/viewjob?jk=4c0cba1474a34e20&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOBg-YxuthZJPu-ypR83ALf7X0QsVCepWP2zcDl4FgtsbLL4yasKxk1OGcW9L5aFNP0&indpubnum=4889224015872296&atk=190a4g2mt1d5213a,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Pensacola,"TecPort Solutions, Inc.",US,2014-06-13 19:45:22,4be06bac2ec0ebda,Database Engineer - Principal II,30.42033,-87.21429,FL,http://www.indeed.com/viewjob?jk=4be06bac2ec0ebda&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOCYI0nbyjJ2SjkAUpfMUgofdr1ZbyRjjYYtXKg6QVCrjMl3rNNkB66fo0sbUc1BGdg&indpubnum=4889224015872296&atk=190a43m5o1d5h6ck,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
Springfield,National Geospatial-Intelligence Agency,US,2014-06-13 17:01:22,cbbee234c7d276f5,Data Scientist Research Appointment,38.78846,-77.18681,VA,http://www.indeed.com/viewjob?jk=cbbee234c7d276f5&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBODV-Z4bZRzLD0CzSkNpK8n5qdDgvR1hU6An16tpdL86rFIycG_vbTkrt2Va5SdeKhA1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a42ud81d5i0qd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
San Francisco,Kiip,US,2014-06-13 09:13:05,98db8355cb6dacb2,Data Scientist/Analyst,37.76923,-122.39011,CA,http://www.indeed.com/viewjob?jk=98db8355cb6dacb2&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOB_EmYJQgTkOR5Ony8rWdSO8JaFtP5SqDufNICGkb6-IGet6j4nQnnerS-FI_053wc1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a41ucd1d727qa,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
Indianapolis,The Big Game Hunter,US,2014-06-13 07:38:07,e0991f81fe8e9475,Data Scientist / Data Analyst,39.766483,-86.15385,IN,http://www.indeed.com/viewjob?jk=e0991f81fe8e9475&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBOCPH352gz6Yu5U7Avx5xf-HVfguNkgQ9sr32Lb6rRvAiTVsZ5iYeYWzu3WYccXa-N0&indpubnum=4889224015872296&atk=190a45ic61d5h2ib,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Reston,CRGT,US,2014-06-13 07:37:30,723d8efc45186205,Data Management Systems Engineer,38.967033,-77.34066,VA,http://www.indeed.com/viewjob?jk=723d8efc45186205&qd=MxQEkSlos1GEjU62O1KFoROlzccaG-FY7dpXVJEaBODV-Z4bZRzLD0CzSkNpK8n5qdDgvR1hU6An16tpdL86rFIycG_vbTkrt2Va5SdeKhA1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190a42ud81d5i0qd,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
