city,company,country,date,jobkey,jobtitle,latitude,longitude,state,url,excel,sql,mysql,python,java,c++,sas,matlab,php,perl,hadoop,hive,spss,linux_unix,bachelor,master,phd
Burlington,Inventiv Health,US,2014-08-12 11:57:00,8ea48404f8a201cd,Financial & Data Analyst,42.502747,-71.19231,MA,http://www.indeed.com/viewjob?jk=8ea48404f8a201cd&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9LulBvtWb3NvLPZ9bcwG7w0LKuJy9BzgjjY5yEKN_5Fi05z9lV3dHGAHdatI1XZpNY&indpubnum=4889224015872296&atk=190a592n71d6h469,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chesterfield,Technology Partners,US,2014-08-12 11:54:34,d904ee1ab6e4d06b,Environmental Data Analyst,38.634617,-90.61539,MO,http://www.indeed.com/viewjob?jk=d904ee1ab6e4d06b&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9I6B5XPu2Ew-VrIxmUWCmEQD8f7lw2UxdxWldkJhjEz9LNRGBXGFkSvNTJBNUnVOvc&indpubnum=4889224015872296&atk=190a5b9281d721ng,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Melbourne,Christian Care Ministry,US,2014-08-12 11:53:54,d5121d19af0993f0,Application Development Manager,28.082418,-80.60439,FL,http://www.indeed.com/viewjob?jk=d5121d19af0993f0&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9LLBCiPjkU9KpwDU5bpt3OiEL9x_Tpofxobm740digpX6PROgF6AMiHNVDQqgU7yWA&indpubnum=4889224015872296&atk=190a5341c1d616gd,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
Boston,Beth Israel Deaconess Medical Center,US,2014-08-12 11:53:00,cae4a3ae8f31f192,Data Analyst,42.357143,-71.05495,MA,http://www.indeed.com/viewjob?jk=cae4a3ae8f31f192&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9LulBvtWb3NvLPZ9bcwG7w0LKuJy9BzgjjY5yEKN_5Fi05z9lV3dHGAHdatI1XZpNY&indpubnum=4889224015872296&atk=190a592231d5i6u2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Boston,Beth Israel Deaconess Medical Center,US,2014-08-12 11:53:00,1976f6b32e30f876,Data Analyst Employee Occupational Health Department,42.357143,-71.05495,MA,http://www.indeed.com/viewjob?jk=1976f6b32e30f876&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9LulBvtWb3NvLPZ9bcwG7w0LKuJy9BzgjjY5yEKN_5Fi05z9lV3dHGAHdatI1XZpNY&indpubnum=4889224015872296&atk=190a592931d2h2ci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Westwood,Beth Israel Deaconess Medical Center,US,2014-08-12 11:53:00,047610fa448f14da,Data Analyst BIDCO,42.21154,-71.21978,MA,http://www.indeed.com/viewjob?jk=047610fa448f14da&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9LulBvtWb3NvLPZ9bcwG7w0LKuJy9BzgjjY5yEKN_5Fi05z9lV3dHGAHdatI1XZpNY&indpubnum=4889224015872296&atk=190a592931d2h2ci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
City of Sunrise,Fanatics,US,2014-08-12 11:14:55,3fc6c8f158172416,Data Analyst / Programmer,26.17033,-80.25824,FL,http://www.indeed.com/viewjob?jk=3fc6c8f158172416&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9LLBCiPjkU9KpwDU5bpt3OiEL9x_Tpofxobm740digpX6PROgF6AMiHNVDQqgU7yWA&indpubnum=4889224015872296&atk=190a5348f1d510io,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0
Spokane,Web.com,US,2014-08-12 10:56:32,03520367ab7c3469,Human Resources Analyst,47.667583,-117.42857,WA,http://www.indeed.com/viewjob?jk=03520367ab7c3469&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9L3eGb1R6djEvbLTasqTfyz4Z0r1R5zmkNbj4VOJWHLHFjMuIZOSm00Jj-u8fFXwhc&indpubnum=4889224015872296&atk=190a5oq3v1d526ee,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Getzville,Advantage xPO,US,2014-08-12 09:31:01,b5d25e0f534b116f,Data Analyst,43.021976,-78.76373,NY,http://www.indeed.com/viewjob?jk=b5d25e0f534b116f&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9KUPDXN_D2AI1pADZ5diohv_MQgRfwuc1MYwhqfMjIoKCU9acvvqmGvLTDTvL990bI&indpubnum=4889224015872296&atk=190a5fa4o1d6h7kc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nashville,Sarah Cannon,US,2014-08-12 09:13:25,b0883ae939756a7c,"Clinical Data Analyst, SCRI - Nashville, TN",36.164837,-86.78022,TN,http://www.indeed.com/viewjob?jk=b0883ae939756a7c&qd=MxQEkSlos1GEjU62O1KFoRQw54NvLaDNxEJ5HB_yo9Ihp7auWX2VRwgIPe-m7Fu12VDAU0HdNEwm1tRfd3aAKRV8CGuGn_EiEWTKgPHaGQM&indpubnum=4889224015872296&atk=190a5lec01d4i285,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
