city,company,country,date,jobkey,jobtitle,latitude,longitude,state,url,excel,sql,mysql,python,java,c++,sas,matlab,php,perl,hadoop,hive,spss,linux_unix,bachelor,master,phd
San Antonio,Rackspace,US,2014-06-20 17:07:37,6da9dc1e08726f4f,Data Architect II,29.423077,-98.48901,TX,http://www.indeed.com/viewjob?jk=6da9dc1e08726f4f&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgIVWpNtQqlA3sMM5Cw7hlLNJSvgofsCVCDMRmg9G6gO6aTLkxOVQhh3hUPzw0I035Q1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190avf9tj1d5h32h,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
Lexington,Technology Consulting Inc.,US,2014-06-20 16:55:22,38bf299d0e7cfe08,Data Architect / Data Scientist,37.986263,-84.47253,KY,http://www.indeed.com/viewjob?jk=38bf299d0e7cfe08&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJFsATeVI_aNFWpnwal2Pae7yCcHAeIilHIKT_omXDcp8ELr_NrRCDkeNsO-aQv9EQ&indpubnum=4889224015872296&atk=190auvk8k1d4i574,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1
Pleasanton,Nifty Inc,US,2014-06-20 16:06:43,528eff5bc53ce591,Data Scientist - Big Data,37.662086,-121.87363,CA,http://www.indeed.com/viewjob?jk=528eff5bc53ce591&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgIqoguffVOTDaP8tAyp2K6vJBEmpDp0QoXfALFHMNzCOig04TDk0YPx8sNJRFt7DPw1Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190auot901d520j8,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1
Greensboro,Gilbarco Veeder-Root,US,2014-06-20 12:43:01,077903ddc4e32679,Data Architect,36.07143,-79.79121,NC,http://www.indeed.com/viewjob?jk=077903ddc4e32679&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgIwkKnakrZkwDsDPerIcM_jwtxGgy7SWBO7KVhJTaR-eNC8dEqDBj6d5WbDwqxTXYk&indpubnum=4889224015872296&atk=190av9ija1d4h0e7,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0
,N-Tier Solution,US,2014-06-20 12:24:05,ab43aa072d42900e,Cognos Reporting Developer,,,NJ,http://www.indeed.com/viewjob?jk=ab43aa072d42900e&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKq2gdfsJzKb-RzMJ4iKJKkRdrh7ENTtFp56hl1LhhNVnFUnVxgKygY4UW_xpSFq0Q&indpubnum=4889224015872296&atk=190av7d2l1d624mg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Water Street,N-Tier Solution,US,2014-06-20 12:23:29,dcb6f44dc86b3dc6,Data Modeler,40.57143,-78.13736,PA,http://www.indeed.com/viewjob?jk=dcb6f44dc86b3dc6&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgLyQ_HFsv8kF1QaiKixNYtA8IbQQrPxBEefulVF1BOjE1fyJQwW-FdLyxP2rgUDqVA&indpubnum=4889224015872296&atk=190avcf051d725v1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hartford,Travelers,US,2014-06-20 09:33:06,3447f8a4aaaf6037,Data Architect,41.76099,-72.68132,CT,http://www.indeed.com/viewjob?jk=3447f8a4aaaf6037&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgKkajlBcrs1bnBcg7PzrrAG7PIkoQHPjcmwlafYig2n9PeeM95w73ce_uLDvxG0pEM&indpubnum=4889224015872296&atk=190auprfn1d520fu,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,ComResource - Professional Services,US,2014-06-20 09:19:19,c53ce63d98cd7656,Data Analyst / Modeler,39.964287,-83.0,OH,http://www.indeed.com/viewjob?jk=c53ce63d98cd7656&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJmI13S77JjQ0lTYmWjhtYdhy8rEHxBcxlRU7QX0LaXkIx9jKBhN2t69V5usywJu-I&indpubnum=4889224015872296&atk=190avam2v1d2i7ft,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Chicago,Request Technology,US,2014-06-20 09:08:58,ef72d68ac7b238a0,Oracle Data Architect w/ RAC and PLSQL,41.8489,-87.64835,IL,http://www.indeed.com/viewjob?jk=ef72d68ac7b238a0&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgJwM65vh4FXjUU8eRYlOTxPT_d39VondbnUqveOKM6or1W-SH4nS44B47ivwyeDP5w&indpubnum=4889224015872296&atk=190ausnig1d4i7ih,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
New York,Axius Technologies Inc,US,2014-06-20 03:40:20,053615948e3194f1,Data Modeler,40.71154,-74.00549,NY,http://www.indeed.com/viewjob?jk=053615948e3194f1&qd=MxQEkSlos1GEjU62O1KFoaXSpHnWjzy9VNCx4OPoJgINIXMm_D4EVEhe_boMh9Ldj2HOHjYJrw2nRAYMhkqVUcKSadTR57Efi7qXfh8OS_81Vu4aS9dH_tvzuwb-B6Jr&indpubnum=4889224015872296&atk=190av90pu1d3i0tj,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
